Index,Part no ,Description
1,D200,Feed Dog Carrier Block Side Complete Set
2,D203,Feed Dog 
3,D203-1,Screw with Nut Adj. for D203
4,D204,Screw attaching . for D203
5,D204-1,Washer for D204
6,D205,"Slide , Block Adjusting"
7,D205-1,Lock Bolt for D205
8,D205-2,Washer for D205 - 1
9,D206,"Stud , Slide Block Adjustment Support"
10,D209,Lock Bolt for D206
11,D210-1,Screw for D210
12,D214,"Stud , Feed Dog Carrier Slide (Comp . With D214 - 1, D214 - 2)"
13,D214-1,Screw for D214
14,D214-2,Washer for D214
15,DS700,Knife Bracket Support
16,DS700-1,Screw for DS700
17,DS700-2,Spring for Knife moving
18,DS700-3,Shaft for Knife moving
19,DS700-4,Bush for DS700 - 3
20,DS700-5,Washer for DS700 - 3
21,DS700-6,Washer for DS700 - 1
22,DS701,Knife Bracket 
23,DS702,Kinfe Moving
24,DS702-1,Screw for DS 702
25,DS703,Kinfe Stationary
26,DS703-1,Screw for DS 703
27,DS710,Throat Plate
