Index,Part no,Description
1,SB1,Case Suspension
2,SB2,Suspension Hook
3,SB3,Suspension Hook Shaft
4,SB4,Suspension Hook Rivert
5,SB5,Stopper Pin
6,SB6,Stopper Spring
7,SB7,Stopper Pin Holder
8,SB8,Stop Ring Pin
9,SB9,Stoppper Lever
10,SB10,Safety Stop Arm
11,SB11,Hex Cap Screw
12,SB12,Spindle
13,SB13,Key
14,SB14,Worm Wheel
15,SB15,Ball Bearing
16,SB16,Drum Self-Contained Spring Assly.
17,SB17,Spiral Spring
18,SB18,Spring Case
19,SB19,Spring Case Cover
20,SB20,Bushing
21,SB21,Hex Bolt
22,SB22,Hex Bolt
23,SB23,Spring Washer
24,SB24,Casing Washer
25,SB25,Casing Washer Bushing
26,SB26,Hex Bolt Cable cplt.
27,SB27,Cable
28,SB28,Washer
29,SB29,Lock (A)
30,SB30,Lock (B)
31,SB31,Rubber Shock Load Hook Latch
32,SB32,Load Hook
33,SB33,Cable Set-Bolt 
34,SB34,Thrust Washer
35,SB35,Worm 
36,SB36,Gauge
37,SB37,Gauge Screw
38,SB38,Safety Device Pin
39,SB39,Safety Device Spring
40,SB40,Safety Device Spring Screw
41,SB41,Adjustable Cable Stop Taper But
