Index ,Part no,Description
1,TR119,"Cover , Top"
1A,T119-1,"Screw, Attaching for T119"
1B,T120-R,Thread Guide
1C,T109,Thread Eyelet
2,T103,"Cover , Side nameplate"
2A,T103-1 ,"Screw, Attaching for T103"
3,T513,Lock Ring
4,T512,"Bearing , Cone"
5,T214,"Stud ,feed dog carrier slide"
5A,T214-1,"Screw, Attaching for T214"
6,T102-1,"Cover, Looper Hinge Type"
6A,T108,"Screw, Attaching for T102"
7,T210N,Throat Plate
7A,T210-1,"Screw, Attaching for T210"
8,T101,"Guard , Needle Bar"
8A,T101-1,"Screw, Attaching for T101"
9,T400,Pressure Foot Complete
9A,T400-1,Hinging Bolt for T400
9B,T400-2,Bolt for T400
9C,T400-3,Nut for T400-2
10,T413,"Bushing , Pressure Bar ,Lower"
11,T414,"Spring , Pressure Bar"
12,T405,"Clamp, Pressure Bar , Complete"
12A,T405-1,"Screw, Clamping for T405"
13,T404,Pressure Bar
14,T412,"Bushing , Pressure Bar  Upper"
15,T05,Needle DB * 1 size 25/200 (Groz Beckert)
16,T501,Needle Holder
17,T504,"Bushing , Needle Bar, Lower"
18,T500,Needle Bar
19,T502,"Clamp , Needle Bar Comp. Avl.9.51 , 7.93mm"
19A,T502-1,"Pin for T 500 (Available in 9.51 , 7.93mm)"
19B,T502-2,"Clamp only , Needle Bar"
19C,T502-3,"Screws , Clamping for T502"
19D,T502-4,Clamp Pin
20,T503,"Bushing , Needle Bar Upper"
21,T505,"Lever , Needle Bar (9.51, 7.93mm)"
21A,T505-1,Screw for T505
22,T511,"Stud , Needle Bar Lever"
23,T607-3,Guide
24,T607-4,Screw for T607 - 3
