SR no,Part no,Description
1,502101,Oil Pump Complete Set
2,502102,Screw for Oil Pump Fittings
3,502103,Oil Pump Driving Worm Gear
4,502104,Screw forWorm Gear
5,502105,Oil Tube Fittitng Knob
6,502106,Oil Tube Connection
7,502107,Oil Tube Fittitng One Way End
8,502108,Oil Tube Fittitng Stud
9,502109,Fiber Washer
10,5021010,Oil Tube
11,5021011,Oil Tube
12,5021012,Oil Tube
13,5021013,Oil Tube
14,5021014,Oil Relief Valve
15,5021015,Screw for Upper Shaft Oil Nozzle
16,5021016,Oil System Comp. Set
17,5021017,Oil Filter Small
17A,5021017A,Oil Filter Big
18,5021018,Inner Small Gear for H101
19,5021019,Big Gear for H101
20,5021020,Cover for H101
20A,5021020- 1,Gasket for Oil Filter H1017N
21,5021021,Bolt for Oil Filter
