SR no,Part no,Deescription
1,50291,Pressure Foot Complete Set
1A,50291A-AY,Pressure Foot Complete Set
2,50292,Screw for Pressure Foot
3,50293,Pressure Bar
4,50294,Pressure Bar Connecting Bkt.
4A,50294A-AY,Pressure Bar Connecting Bkt. With Collar Comp. Set
5,50295,Screw for Pressure Bar Connecting Bkt.
6,50296,Pressure Shaft Collar
7,50297,Screw for Pressure Shaft Collar
8,50298,Pressure Shaft Spring
9,50299,Screw for Pressure Shaft Spring
10,502910,Pressure Bar Guide
11,502911,Screw for Pressure Bar Guide
12,502912,Pressure Foot Lifter Spring
13,502913,Pressure Foot Lifter Link
14,502914,Stud for Pressure Foot Lifter Link
15,502915,Screw for Pressure Foot Lifter Driving Lever
16,502916,Pressure Foot Lifter Driver Lever
16A,502916A-AY,Pressure Foot Lifter Driver Lever
17,502917,Pressure Foot Lifter Connecting Rod
18,502918,Nut for Pressure Foot Lifter Connecting Rod
19,502919, Pressure Foot Lifter Connecting  Adjusting Rod
20,502920,Screw for Pressure Foot Lifter Connecting  Adjusting Rod
21,502921,Pressure Foot Lifter Link Lever
21A,502921A-AY,Pressure Foot Lifter Link Lever Com. Assy.
22,502922,Screw for Pressure Foot Lifter Link Lever 
23,502923,Pressure Foot Lifter Shaft
24,502924,Pressure Foot Lifter Lever
25,502925,Screw for Pressure Foot Lifter Handle 
26,502926,Tension Release Lever
27,502927,Pin for Tension Release Lever
28,502928,Screw for Tension Release Lever
29,502929,Tension Release Shaft
30,502930,Bush For Lifter Shaft
